Timestamp,Spin_ID,Bet,Payout,Is_Win,Current_RTP,AI_Provider,Latency_ms
2025-12-20T23:37:59.182478,d618f540-5a5f-4c4a-8d0d-49f86f9a2dc4,10.0,0.0,False,0.95,openai,8818.09
2025-12-20T23:39:28.409911,4a4ee119-d163-4347-852f-22a18fcc185f,10.0,0.0,False,0.95,openai,5497.93
2025-12-20T23:39:41.372034,db93d5bc-bde7-4932-a29d-bc152bdd54f6,10.0,0.0,False,0.95,openai,3750.25
2025-12-20T23:39:47.028907,e39ab971-fd54-4bc3-b592-6de41dd91c15,10.0,0.0,False,0.95,openai,3788.86
2025-12-21T01:37:33.400927,6689a427-1b97-4695-8dcc-9be4bdfba451,10.0,0.0,False,0.95,openai,3491.31
2025-12-21T01:38:10.105033,6b839f0e-9641-430b-b9d2-0c3d3e3f4792,10.0,0.0,False,0.95,openai,3279.97
2025-12-21T01:38:17.973958,73ed4c04-cc64-4637-9f2e-29cef9bdd774,10.0,0.0,False,0.95,openai,3349.99
2025-12-21T01:38:22.443950,7ab45f5e-e03c-417a-bafe-807dd6ceb12d,10.0,0.0,False,0.95,openai,3283.11
2025-12-21T01:38:27.000304,b0c35678-23a3-4f09-be77-4b94c5cf34d4,10.0,0.0,False,0.95,openai,3254.26
2025-12-21T01:43:20.434385,8790aed0-1c5a-4992-960e-9b2baa3310ca,10.0,0.0,False,0.95,openai,3659.85
2025-12-21T02:00:21.967603,83c38356-bf6f-416e-bfa7-7020fe72f342,10.0,0.0,False,0.95,openai,4769.4
2025-12-21T03:20:39.759432,641bca33-bb9f-434b-a06e-757be2e21286,10.0,0.0,False,0.95,deepseek,2936.34
2025-12-21T03:25:31.829863,6d96846d-bc07-4d80-bacc-c5077ebbe1dd,10.0,0.0,False,0.95,deepseek,2953.55
2025-12-21T03:25:39.997110,0bda4350-d85b-4330-b3bd-5e88cac57d6d,10.0,0.0,False,0.95,deepseek,2801.77
2025-12-21T03:41:34.494242,14c4e35a-5705-4e83-a1eb-b1dce7f6715d,10.0,30.0,True,0.95,deepseek,6852.13
2025-12-21T03:42:43.721869,643cce6f-2876-4dd0-9317-79bfb56f62ea,10.0,30.0,True,0.95,deepseek,5547.23
2025-12-21T03:42:59.124480,6b6c3402-26ad-42be-93ff-8e2cf1bb515e,10.0,30.0,True,0.95,deepseek,6136.71
2025-12-21T03:43:11.163032,991c0652-9355-4701-8706-872ad6cd50f3,10.0,30.0,True,0.95,deepseek,5605.52
2025-12-21T03:50:21.284333,08a4372f-6d60-42d2-835b-0c74dc91aff4,10.0,0.0,False,0.95,deepseek,1874.44
2025-12-21T03:51:27.492524,ea3715aa-9207-439a-909f-9c2bcb7871a3,10.0,30.0,True,0.95,deepseek,5835.57
2025-12-21T03:51:39.439465,ede3eeb4-f0a4-415a-b4a9-cbdbaa09307d,10.0,30.0,True,0.95,deepseek,6096.87
2025-12-21T03:51:52.036316,bd3868fb-e1ed-4500-86af-245116e692ce,10.0,30.0,True,0.95,deepseek,7018.44
2025-12-21T03:52:12.816927,fd83ce7d-7d79-4467-bece-b78e324cdc95,10.0,30.0,True,0.95,deepseek,6525.31
2025-12-21T12:16:21.252972,6d7ffedd-b132-4367-849f-9bdd26c28353,10.0,30.0,True,0.95,deepseek,7603.31
2025-12-21T12:19:31.611960,64ba5701-f4f9-4a40-bb80-5e3eb1c4b3e3,10.0,30.0,True,0.95,deepseek,6799.99
2025-12-21T12:23:30.700762,8a5ad4d1-97b4-467b-ab4c-61c2ded7e9f5,10.0,30.0,True,0.95,deepseek,8410.66
2025-12-21T12:33:56.934262,3663762c-a23b-433c-9dc8-223c4a1a2f6e,10.0,30.0,True,0.95,deepseek,7264.13
2025-12-21T12:34:15.303956,c1ad556c-f943-4a4f-ad24-5a9675e0162e,10.0,30.0,True,0.95,deepseek,7638.45
2025-12-21T12:43:28.964935,bfb6b286-0984-425a-bf0e-ba563750d789,10.0,30.0,True,0.95,deepseek,5815.72
2025-12-21T12:45:18.827493,2715759c-3695-4ac3-b48e-308af3bd1e11,10.0,30.0,True,0.95,deepseek,6738.04
2025-12-21T12:58:12.722393,3015bff6-08d0-46ad-a726-ea9f79091d11,10.0,30.0,True,0.95,deepseek,8274.3
2025-12-21T13:24:01.129898,3996f969-42cb-4afe-ba6c-e076bece09a2,10.0,30.0,True,0.95,deepseek,7654.54
2025-12-21T14:18:13.306268,c554760d-bb18-423c-9bb3-fe8663ec650f,10.0,30.0,True,0.95,deepseek,7522.49
2025-12-23T12:49:42.250914,b8b68be9-b3b2-4750-ac74-822e198bc8c0,10.0,500.0,True,0.95,deepseek,7209.05
2025-12-23T12:49:56.031050,8edf5c71-c673-4873-866e-8356d643235b,10.0,500.0,True,0.95,deepseek,6916.51
2025-12-23T12:50:05.395635,e8f2abd3-60f7-4716-81ef-3cc65132258c,10.0,500.0,True,0.95,deepseek,7445.83
2025-12-23T12:50:36.197939,5fa12666-d605-4621-b1db-069233a1d043,10.0,30.0,True,0.95,deepseek,5812.22
2025-12-23T12:50:48.152737,29ee1499-fa77-43ed-bc8c-ec535161ea0a,10.0,30.0,True,0.95,deepseek,6641.89
2025-12-23T12:50:56.019952,b6b388b0-85af-428d-b518-4c6d77dd172d,10.0,30.0,True,0.95,deepseek,5864.73
2025-12-23T12:54:29.366672,50f5371e-a6d9-4416-bb77-42e6a0ef371c,10.0,1500.0,True,5.4615,deepseek,17861.99
